Date,BAC,BNS,C,GS,JPM,MS,TD,USB,WFC
1/4/2016,16.1768,38.183614,50.516574,174.428759,61.870034,30.587742,36.790199,40.463358,50.916643
1/5/2016,16.1768,38.451837,50.249813,171.425438,61.977008,30.393412,36.503965,40.658457,50.897396
1/6/2016,15.832194,37.522631,49.518689,167.240487,61.082316,29.63552,35.689043,40.043897,49.925449
1/7/2016,15.261132,36.909548,46.989405,162.100381,58.612182,28.158602,34.889533,39.283015,48.501207
1/8/2016,14.965755,36.928707,45.576561,161.430796,57.299313,27.575607,34.73541,38.726986,47.692854
1/11/2016,15.07406,36.468895,46.28792,163.193392,57.211793,27.65334,34.764307,38.883064,48.202885
1/12/2016,15.07406,36.315624,46.317563,163.173709,57.338214,27.65334,35.380798,39.624436,49.425039
1/13/2016,14.670378,35.386418,44.647836,156.556562,55.762776,26.12784,34.571653,38.053895,47.856447
1/14/2016,14.758991,35.750438,44.835559,158.919822,56.599121,26.38047,34.369368,38.951348,48.732163
1/15/2016,14.237159,34.485953,41.960472,153.22829,55.471028,25.233916,32.789611,38.092915,46.980731
1/19/2016,14.020549,35.012821,41.436828,154.419777,55.441851,25.515697,33.271244,38.170956,46.393712
1/20/2016,13.479025,34.294364,40.004227,151.396758,53.983111,24.524607,32.828142,37.917327,46.066521
1/21/2016,13.154111,35.357681,39.668306,149.328894,53.730264,24.077646,33.829937,37.575906,46.201246
1/22/2016,13.351029,36.832915,40.567388,154.459158,55.383504,24.884121,35.149615,38.405072,47.173197
1/25/2016,12.760276,35.520533,39.075502,148.807007,54.128986,24.271976,33.858838,37.351544,45.864434
1/26/2016,13.104882,36.229409,40.014105,152.086041,55.509929,24.767521,34.793204,38.063652,46.441828
1/27/2016,13.154111,36.852074,40.073387,151.367218,55.471028,24.796845,35.284472,38.21973,46.74015
1/28/2016,13.321491,38.461419,39.954678,154.656094,55.704425,24.601362,36.141779,38.258751,47.076962
1/29/2016,13.922091,39.122398,42.121077,159.087219,57.863361,25.295321,36.450024,39.078163,48.33761
2/1/2016,13.744865,38.748801,42.022152,157.206449,57.240966,25.129162,36.141779,38.824533,48.058535
2/2/2016,13.026114,37.924969,39.984353,149.378132,55.461301,23.946499,35.592717,37.800269,46.990357
2/3/2016,12.829196,38.796697,39.925003,150.343128,55.83085,23.770565,36.305533,38.317278,46.161196
2/4/2016,13.045806,39.60137,40.350368,154.094826,56.79362,24.444977,36.873861,39.126937,46.79155
2/5/2016,12.750429,39.141557,39.430392,154.075128,56.161498,23.799888,36.286267,39.107427,46.413339
2/8/2016,12.080909,38.298566,37.402487,146.965633,54.984782,22.157842,35.611983,38.56115,45.094447
2/9/2016,12.011988,37.350205,37.105717,145.980939,54.654134,22.411968,34.899164,38.434339,45.045959
2/10/2016,11.795378,36.191091,37.006797,144.976547,53.992838,22.187165,34.369368,38.083162,44.77442
2/11/2016,10.988015,35.788756,34.602987,138.536652,51.610228,21.199982,33.945532,36.532132,43.794951
2/12/2016,11.76584,37.340623,37.135397,143.893392,55.908651,22.568353,35.303738,38.141689,45.879965
2/16/2016,12.061217,37.992025,38.470845,146.739158,56.744992,23.18412,35.997288,39.204974,46.781854
2/17/2016,12.36644,39.294828,39.351252,148.629769,57.153442,23.682598,36.931658,39.13669,46.675178
2/18/2016,12.051371,39.246932,38.50052,145.468894,56.219849,23.418697,36.854595,38.522134,46.287267
2/19/2016,11.943067,38.949968,38.569769,144.661452,56.229572,23.457795,36.661944,38.492866,46.636386
2/22/2016,12.346748,38.815857,39.094056,146.512667,56.958942,23.985596,36.729373,39.243995,47.703135
2/23/2016,11.972604,38.126136,37.808068,142.692064,54.576332,23.174345,36.517453,37.917327,46.646082
2/24/2016,11.943067,37.484316,37.679468,143.332109,54.595783,23.174345,36.064716,37.497865,46.170896
2/25/2016,12.130138,37.886651,38.203755,145.980939,55.441851,24.073561,36.902761,38.18071,46.306663
2/26/2016,12.504282,38.279407,39.074271,147.950328,55.957275,24.591588,37.249534,38.327035,46.61699
2/29/2016,12.327057,38.317726,38.431275,147.881099,54.751382,24.141981,37.239903,37.575906,45.50175
3/1/2016,12.986731,41.316089,40.825194,152.944635,57.571614,25.500578,38.289864,38.922085,47.247344
3/2/2016,13.253581,41.210714,41.764956,152.4996,58.116208,25.520126,38.174273,39.536641,48.07165
3/3/2016,13.342532,41.900435,42.368382,153.617144,58.310708,25.549447,38.453618,39.770761,48.265605
3/4/2016,13.382065,42.781741,42.368382,155.110488,58.398232,25.539673,38.810029,40.024387,48.595328
3/7/2016,13.372181,43.691787,42.150752,153.636928,58.291257,25.500578,39.349457,39.770761,48.556537
3/8/2016,12.907664,43.730106,40.607564,149.92828,57.163165,24.444977,39.204969,38.873307,47.567368
3/9/2016,12.986731,44.678468,40.706489,148.256914,57.493813,24.054014,39.888887,38.785513,47.315228
3/10/2016,13.115215,44.209077,40.924115,149.354674,56.997843,24.09311,39.436151,38.54164,47.043689
3/11/2016,13.629149,45.099965,42.526658,152.242473,57.707763,25.412611,40.120073,39.468357,48.556537
3/14/2016,13.480899,44.812579,42.210103,151.797438,57.493813,25.324644,39.946685,39.497624,48.372281
3/15/2016,13.411715,44.697627,42.130967,150.353531,57.571614,24.855489,39.917784,39.790271,48.469257
3/16/2016,13.154748,45.578936,41.774847,148.879956,57.299313,24.591588,40.688401,39.546398,48.042558
3/17/2016,13.243698,47.102063,42.388163,151.223832,57.133991,25.266,41.47828,39.69272,48.226814
3/18/2016,13.629149,46.680569,43.070729,155.862117,58.816405,25.686286,40.94848,40.30728,49.012331
3/21/2016,13.678566,46.594354,43.13008,154.56655,58.796954,25.353967,40.97738,40.365811,49.138399
3/22/2016,13.599499,46.632672,42.912454,152.4996,58.583008,25.256226,40.94848,40.30728,48.847468
3/23/2016,13.461132,45.847159,41.913337,152.380928,58.291257,24.699103,40.466846,40.180465,48.255906
3/24/2016,13.520432,45.080806,41.487971,151.312836,57.843911,24.366785,40.235664,39.780514,47.421904
3/28/2016,13.461132,45.693889,41.468187,152.143569,57.766114,24.161528,40.717298,39.69272,47.227948
3/29/2016,13.263465,46.354868,41.270345,153.320449,57.406288,24.220174,41.121868,39.648547,46.597595
3/30/2016,13.322764,46.958373,41.42862,154.774241,58.067584,24.503621,41.825053,40.237534,47.179461
3/31/2016,13.362299,46.805102,41.300021,155.248943,57.591064,24.444977,41.545708,39.844876,46.898225
4/1/2016,13.401832,46.692704,42.012262,158.057637,58.223183,24.95323,41.516807,39.952857,46.985505
4/4/2016,13.352415,46.276064,41.606681,156.03024,57.997858,24.4743,41.381951,39.933224,47.033993
4/5/2016,13.036147,45.646262,41.062606,153.636928,57.174915,23.829209,40.958114,39.314788,46.073916
4/6/2016,13.115215,45.849737,41.408836,153.478689,57.615778,23.868306,40.782026,39.354055,46.62669
4/7/2016,12.700114,45.181177,39.835972,148.7514,56.156033,23.18412,40.081574,38.382227,45.51145
4/8/2016,12.729764,46.121036,40.033818,148.622829,56.567506,23.213443,40.811214,38.657089,45.647217
4/11/2016,12.818714,46.208239,40.67681,150.521655,57.018164,23.56531,41.03497,38.804333,45.608426
4/12/2016,13.115215,47.525984,41.448405,152.608388,58.076231,24.024691,41.920267,39.520932,46.326059
4/13/2016,13.629149,48.058894,43.773076,158.087305,60.535264,25.295321,41.949451,40.345512,47.547972
4/14/2016,13.975067,48.146098,44.495207,159.135614,61.319018,25.57877,42.182938,40.522208,47.315228
4/15/2016,13.836699,47.971691,44.435853,156.77197,60.613638,25.178033,42.075923,40.345512,46.79155
4/18/2016,14.004717,48.204235,44.623807,157.266456,61.005517,25.14871,42.056466,40.453493,47.363716
4/19/2016,14.28145,49.250681,45.138203,160.856417,62.034194,25.862218,42.990405,41.140644,48.372281
4/20/2016,14.755852,49.987065,46.23624,165.138671,62.93551,26.790756,43.369821,41.945591,48.925051
4/21/2016,14.726201,49.492913,46.097746,163.496988,62.308507,26.644145,42.990405,41.778713,48.537141
4/22/2016,14.933752,49.948307,46.463761,164.911212,62.670996,27.074205,43.146061,42.505127,49.089911
4/25/2016,14.785502,49.599492,46.186776,163.269513,62.308507,26.908046,42.688822,42.259716,48.983235
4/26/2016,14.913985,50.025823,46.592357,164.011243,62.631808,26.927593,42.854206,42.573841,49.380842
4/27/2016,14.844802,50.248677,46.819881,165.079335,62.808153,27.055353,42.96122,42.730904,49.390542
4/28/2016,14.617485,50.345568,46.275231,162.478332,62.308507,26.760524,43.097419,42.338249,48.88626
4/29/2016,14.390168,50.820345,45.82961,162.300324,61.916632,26.593455,43.291991,41.906324,48.469257
5/2/2016,14.597718,50.384326,46.225719,164.34749,62.494651,26.790007,43.223891,42.181186,49.060819
5/3/2016,14.1925,48.330197,45.12652,161.341019,61.289629,26.426386,42.766649,41.719813,48.488653
5/4/2016,13.965183,47.215927,44.225376,158.304881,60.31973,25.826904,42.124565,40.954133,47.824157
5/5/2016,13.886116,46.6055,43.799561,157.770827,59.996434,25.7188,42.066196,40.885418,47.843701
5/6/2016,13.945416,46.624879,43.977809,157.098333,60.34912,25.797421,41.871625,41.013029,47.902334
5/9/2016,13.826816,46.140415,43.462869,155.773098,59.96704,25.650007,41.531124,40.777437,47.765527
5/10/2016,14.1332,46.789599,44.403625,159.639985,60.780188,26.170868,42.134296,41.287892,48.273671
5/11/2016,14.034366,47.332197,44.037227,157.662039,60.554859,25.905525,42.426151,41.101377,47.960968
5/12/2016,13.975067,47.516296,43.5718,156.326935,60.51567,25.777765,42.601265,41.170092,48.078231
5/13/2016,13.718099,46.915557,42.690461,153.627029,59.957245,25.443627,42.153753,40.669456,47.14012
5/16/2016,13.767516,47.341889,42.730073,153.666596,60.407903,25.758109,42.426151,40.924681,47.169434
5/17/2016,13.846583,47.15779,43.27472,152.944635,60.407903,25.708972,42.299679,39.97249,46.534253
5/18/2016,14.518651,47.041519,45.4236,158.176309,62.739575,26.770352,42.251037,40.855967,47.540771
5/19/2016,14.360517,46.392338,44.621485,152.994087,62.102772,26.151214,41.75488,40.757804,47.276927
5/20/2016,14.350634,46.6055,44.463042,152.806179,62.220335,26.308456,41.900809,40.973766,47.63849
5/23/2016,14.301217,46.789599,44.670998,153.735816,62.171351,26.367421,41.842437,40.895233,47.589631
5/24/2016,14.508768,46.993073,45.413699,155.852217,63.229421,26.937421,42.153753,41.503851,48.078231
5/25/2016,14.745968,48.126719,46.483187,159.471861,64.189517,27.301042,42.893121,42.171368,49.34859
5/26/2016,14.528534,48.223614,45.661266,157.464248,63.709469,26.947249,43.155792,41.886691,49.397449
5/27/2016,14.706435,48.339885,46.126693,158.417544,64.101348,27.055353,43.000135,42.161553,49.690608
5/31/2016,14.617485,47.409713,46.116788,158.36789,63.944594,26.898111,42.416421,42.033939,49.563575
6/1/2016,14.736487,48.146098,46.483187,158.854478,64.356071,27.016041,42.718007,42.210635,49.837189
6/2/2016,14.815822,48.43678,46.512897,158.169287,64.473629,26.809663,42.727734,42.269534,49.944682
6/3/2016,14.300145,48.989069,44.948272,154.58446,63.327389,26.082422,43.03905,41.592199,49.045656
6/6/2016,14.399314,49.832037,45.294868,155.964767,63.954393,26.387076,43.574119,42.092838,49.338819
6/7/2016,14.230727,50.907549,45.096813,154.087947,63.738859,26.062766,43.982716,41.876876,49.123834
6/8/2016,14.310062,51.023819,45.116619,153.561644,63.925003,26.082422,44.109188,42.024124,48.85999
6/9/2016,14.072056,50.519976,44.571969,152.101894,63.435156,25.630352,43.768691,41.75908,48.019597
6/10/2016,13.715048,49.541359,43.472774,148.844768,62.543635,25.099663,43.291991,41.189725,47.237838
6/13/2016,13.486961,49.192544,42.739974,147.593559,61.98521,24.82449,42.96122,40.914867,46.876275
6/14/2016,13.149786,48.6887,41.551652,145.170572,60.819376,24.175869,42.280222,40.43386,45.811127
6/15/2016,13.229121,48.175168,41.601164,145.140782,60.711609,24.293799,41.842437,40.266983,45.713405
6/16/2016,13.199371,48.029828,41.710094,145.607506,60.956533,24.637765,41.881352,40.306249,45.781809
6/17/2016,13.288622,48.465847,42.066591,144.624404,61.015312,24.873627,42.095381,40.35533,45.537509
6/20/2016,13.427459,49.22161,42.383477,146.719691,61.103485,25.453455,42.474793,40.463312,45.859987
6/21/2016,13.506794,49.308814,42.502308,147.315513,61.671709,25.748283,42.815291,40.610556,46.153146
6/22/2016,13.496877,48.96969,42.264646,147.106971,61.43658,25.935006,42.552623,40.590923,45.899075
6/23/2016,13.923303,49.793279,44.027322,151.595456,62.749374,26.819491,43.194707,41.454769,46.817642
6/24/2016,12.891947,47.729458,39.907807,140.870765,58.389733,24.097248,41.346283,39.128277,44.667802
6/27/2016,12.078763,46.547367,38.105519,138.537146,56.440145,23.202938,40.548543,37.979753,43.983761
6/28/2016,12.594441,47.419401,40.046443,141.416932,58.311359,24.185697,41.297641,38.617116,45.048909
6/29/2016,13.080368,48.213923,41.710094,144.485381,59.957245,24.795006,41.647869,39.210008,45.899075
6/30/2016,13.159704,48.024801,41.977467,147.543905,60.878155,25.532075,41.764611,39.85231,46.250868
7/1/2016,12.991116,48.416762,41.759607,147.216204,60.483226,25.47311,41.813252,39.585508,45.957705
7/5/2016,12.634108,47.672041,40.383135,143.4427,58.794909,24.568972,41.861894,38.597352,45.156402
7/6/2016,12.753111,47.721035,40.660412,144.564825,59.426793,24.716385,41.551414,38.735693,45.586372
7/7/2016,12.901864,47.348673,40.888174,145.974921,59.811851,25.247076,41.443334,38.765337,45.73295
7/8/2016,13.060534,47.623043,41.571457,149.331356,61.046001,25.915352,41.49246,39.615151,46.700379
7/11/2016,13.100202,47.760232,41.878442,151.128732,61.480421,26.003799,41.590716,39.822663,46.983768
7/12/2016,13.427459,48.583346,43.017248,155.825744,62.398629,26.898111,42.445521,40.188279,47.247608
7/13/2016,13.32829,49.043896,42.908322,156.818771,62.359135,26.691731,42.710806,40.148756,47.169434
7/14/2016,13.536544,49.533845,44.017421,161.406549,63.306965,27.517249,42.995738,40.761411,47.824157
7/15/2016,13.546461,49.739623,43.89859,160.512831,63.366202,27.527076,43.044868,41.39383,46.622201
7/18/2016,13.992721,49.59264,44.136252,162.191048,63.14899,27.723627,42.917137,41.38395,47.179205
7/19/2016,14.141475,49.337865,43.918392,160.284439,63.05026,27.703973,42.779583,41.472884,47.267153
7/20/2016,14.28031,49.475053,44.037227,160.641929,63.119372,28.283801,42.90731,41.472884,47.501683
7/21/2016,14.151392,49.239876,43.700535,158.933922,62.882414,28.37225,42.769755,41.38395,47.198749
7/22/2016,14.260477,49.220278,43.868879,159.291412,63.227978,28.421387,42.691154,41.690276,47.218294
7/25/2016,14.25056,48.769526,43.611411,159.390706,63.060132,28.627765,42.455344,41.472884,47.022853
7/26/2016,14.40923,49.220278,43.720341,160.036182,63.316833,28.726042,42.700978,41.472884,46.876275
7/27/2016,14.508399,49.269272,43.858978,159.86737,63.514302,28.716146,42.494647,41.512408,46.90559
7/28/2016,14.557984,49.426056,43.809288,159.410571,63.287215,28.557822,42.543773,41.581582,47.032627
7/29/2016,14.369563,49.749424,43.540946,157.702564,63.158866,28.429182,42.809058,41.670512,46.876275
